waktu	Menit ke	Bacaan (nT)
525	0	44372.85
530	5	44373.39
535	10	44373.37
540	15	44373.89
545	20	44374.79
550	25	44373.49
555	30	44374.37
560	35	44374.47
565	40	44373.11
570	45	44374.63
575	50	44373.37
580	55	44373.34
585	60	44377.62
590	65	44378.12
595	70	44377.78
600	75	44378.17
605	80	44378.22
610	85	44378.22
615	90	44378.32
620	95	44378.12
625	100	44378.82
630	105	44379.04
635	110	44378.93
640	115	44378.87
645	120	44377.89
650	125	44377.59
655	130	44375.31
660	135	44374.17
665	140	44374.04
670	145	44374.45
675	150	44374.66
680	155	44390.82
685	160	44391.94
690	165	44393.31
695	170	44393.37
700	175	44392.81
705	180	44393.37
710	185	44393.0
715	190	44392.86
