X	Y	Z	Altimeter	Waktu	t1	t2	t3
							
9406750	534765	84	0	525	44372.85	44372.85	44372.85
9406703	534830	84	54	532	44367.85	44368.15	44368.49
9406652	534815	84	51	536	44372.48	44373.73	44373.08
9406604	534799	84	46	539	44375.32	44375.27	44375.24
9406557	534784	84	45	541	44376.6	44376.38	44376.61
9406509	534767	84	39	545	44378.56	44378.21	44378.42
9406461	534751	84	33	547	44381.27	44380.18	44380.39
9406414	534735	84	24	541	44375.03	44373.22	44375.08
9406364	534729	84	19	553	44380.71	44380.55	44380.44
9406317	534714	84	14	555	44378.69	44378.85	44378.54
9406268	534725	84	8	557	44379.67	44379.13	44379.05
9406220	534713	87	6	561	44370.27	44371.41	44371.7
9406219	534645	87	4	565	44375.27	44375.15	44375.7
9406268	534662	87	-2	568	44382.42	44382.36	44382.33
9406318	534683	87	-4	571	44380.73	44380.68	44380.41
9406367	534693	87	-8	574	44382.44	44382.74	44383.27
9406414	534707	87	-11	579	44381.33	44381.45	44381.46
9406461	534720	87	-13	583	44303.37	44302.41	44303.26
9406510	534736	87	-17	587	44385.09	44385.12	44385.18
9406558	534746	87	-20	545	44381.77	44381.11	44381.63
9406608	534753	87	-18	593	44380.79	44380.7	44380.83
9406654	534771	87	-14	595	44379.79	44379.87	44379.75
9406702	534786	87	-12	597	44378.2	44378.06	44378.14
9406736	534774	87	-12	600	44379.41	44379.38	44379.33
9406689	534730	87	-12	602	44377.51	44377.36	44377.28
9406639	534722	87	-9	608	44386.68	44386.17	44386.67
9406592	534707	87	-11	601	44382.86	44382.92	44382.9
9406542	534695	87	-14	613	44388.19	44388.21	44388.29
9406493	534689	87	-17	616	44389.29	44389.35	44389.48
9406445	534672	87	-19	618	44385.66	44385.85	44385.98
9406396	534658	87	-16	626	44386.37	44386.03	44386.08
9406446	534654	87	-19	637	44388.79	44388.65	44388.67
9406500	534654	87	-16	604	44391.96	44391.44	44392.27
9406548	534650	87	-17	644	44389.33	44389.58	44389.46
9406600	534638	87	-19	647	44386.91	44387.35	44386.76
9406654	534630	87	-21	651	44383.59	44384.28	44383.64
9406704	534621	87	-21	654	44386.08	44385.52	44385.49
9406753	534618	87	-21	658	44384.68	44384.87	44384.76
9406804	534610	87	-18	661	44383.09	44382.76	44382.73
9406852	534601	87	-18	665	44376.67	44376.44	44376.33
9406832	534553	87	-19	668	44379.23	44379.24	44379.03
9406784	534569	87	-13	673	44382.7	44383.1	44382.98
9406733	534575	87	-10	677	44387.83	44387.62	44387.99
9406683	534568	87	-14	679	44383.27	44383.3	44383.3
9406630	534558	87	-18	682	44388.45	44388.32	44388.02
9406559	534543	87	-18	685	44395.39	44395.46	44395.59
9406510	534556	87	-17	688	44396.25	44396.82	44396.65
9406459	534566	87	-16	692	44399.91	44400.55	44400.58
9406411	534572	87	-17	695	44389.45	44389.39	44389.19
9406358	534577	87	-19	701	44389.5	44389.49	44388.84
9406313	534555	87	-13	705	44392.3	44392.08	44391.98
